,Families,Incidence
311,CBM66+GH5,41
312,CBM34+CBM48+GH13,40
313,GT2+GT32,40
314,GT111+GT2+GT8,40
315,CBM23+GH5,40
316,CBM51+GH97,40
317,CE20+GH105,40
318,CBM0+GH78,40
319,CBM25+CBM26+GH13,39
320,CBM56+GH55,39
321,CBM23+CBM27+GH26,39
322,CBM20+GH31,38
323,CBM8+GH18,38
324,CBM32+GH136,37
325,CBM35+GH97,37
326,CBM2+GH3,37
327,CBM32+GH38,36
328,GT10+GT25,36
329,GT2+GT4+GT41,36
330,GH43+GH51,36
331,GT32+GT62,36
332,CBM41+CBM48,36
333,CBM13+CBM35+GH27,36
334,CBM1+GH74,35
335,GH42+GH43,35
336,CBM13+GH26,34
337,CBM13+CBM6+GH43,34
338,AA15+CBM1,33
339,GH105+GH154,33
340,CBM32+CBM35+GH29,33
341,CBM6+GH99,33
342,CBM32+GH20+GH84,33
343,CBM13+CBM66+GH32,32
344,GT26+GT4,32
345,CBM6+GH2,32
346,CBM3+CBM35+GH26,32
347,CBM32+GH81,32
348,CBM13+GH17,32
349,CBM6+GH10,31
350,CBM6+GH30,31
351,CBM48+CE0+GH10,31
352,CBM6+CBM66+GH43,31
353,CBM2+CBM22+GH10,31
354,CBM2+PL31,31
355,CBM32+GH2+GH64,31
356,CBM35+CBM6,31
357,CBM35+GH36,30
358,CBM2+CE2,30
359,CBM13+GH76,30
360,CBM32+GH158+GH16,30
361,CBM13+CE1,30
362,CBM32+GH8,30
363,CBM2+GH44,30
364,GT4+GT9,30
365,GT0+GT25,30
366,GT1+GT32,30
367,GH106+GH43,29
368,CBM5+GH46,29
369,CBM6+GH18,29
370,CBM8+CE0,29
371,CBM35+GH66,29
372,CE12+GH28,29
373,CBM5+GH20,29
374,CBM91+GH28+GH43,29
375,CBM22+CBM9+CE4+GH10,29
376,CBM35+GH76,29
377,CBM13+GH2,29
378,CBM12+GH23,28
379,CBM47+GH29,28
380,CBM20+CBM25+GH119,28
381,CE4+GH171,28
382,AA13+CBM20,28
383,CBM92+GH30,27
384,CBM0+GT39,27
385,CE8+GH28,27
386,CBM13+PL9,27
387,GH35+GH43,27
388,GH10+GH62,27
389,CBM13+CBM32+GH5,27
390,CBM92+GH18,27
391,CBM1+GH62,27
392,CBM32+CBM38+GH81,27
393,CBM72+GH5,26
394,CBM1+PL1,26
395,CBM2+GH8,26
396,GH106+GH28,26
397,CBM4+GH148,25
398,CBM13+GH92,25
399,GT2+GT9,25
400,CBM5+GH0,25
401,GH173+GH36,25
402,AA17+CBM1,25
403,CBM16+CBM32+PL7,25
404,GT11+GT31,25
405,CBM41+CBM48+CBM69+GH13,24
406,CBM66+PL9,24
407,CBM4+CBM54+CBM6+GH16,24
408,CBM32+GH16+GH20,24
409,CBM32+GH46,24
410,CBM35+GH30,23
411,CBM2+CBM63,23
412,CBM35+PL11,23
413,CBM9+GH10,23
414,CBM13+CE8,23
415,CBM1+GH131,23
416,CBM0+CBM32+GH2,23
417,CBM37+GH48,22
418,AA5+CE3,22
419,CBM6+GH128,22
420,CBM2+PL1,22
421,AA10+CBM5+CBM73,22
422,CBM2+CBM91+GH43,22
423,CBM91+GH10+GH43,22
424,CBM11+GH16,22
425,AA5+CBM18,22
426,CBM59+GH26,21
427,CBM65+GH5,21
428,CBM6+GH0,21
429,CBM4+GH5,21
430,CBM66+PL3,21
431,CBM91+GH43+GH5,21
432,AA9+CBM18,21
433,CBM13+CBM35+GH93,21
434,CBM6+GH11,20
435,CBM22+CBM3+GH10,20
436,CBM10+GH26,20
437,CBM0+GH20,20
438,CBM4+CBM54+GH16,20
439,GH105+GH28,20
440,PL1+PL9,20
441,CBM6+CBM92,20
442,CBM2+GH54,20
443,CBM13+GH23,20
444,CBM1+CE5,20
445,CBM1+CE16,20
446,CBM13+GH142,20
447,GT11+GT2,20
448,GT2+GT83,20
449,CBM67+GH2,20
450,CBM16+PL18,19
451,GT0+GT2+GT4,19
452,CBM35+CE12,19
453,CBM13+GH12,19
454,CE6+GH95,19
455,CBM2+CBM6+GH43,19
456,CBM2+GH95,19
457,CBM3+GH48+GH9,18
458,CBM0+GT54,18
459,CBM43+GH5,18
460,CBM32+GH33,18
461,GH28+GH43,18
462,GT4+GT41,18
463,GH77+GT4,18
464,GH77+GT35,18
465,CBM6+GH76,18
466,CBM35+GH28,18
467,CBM72+GH16,18
468,GH88+PL38,18
469,CBM35+GH105,18
470,CBM6+GH28,17
471,CBM6+CE0,17
472,CBM13+GH46,17
473,CBM13+CE2,17
474,CBM13+GH11,17
475,CBM13+GH97,17
476,CBM13+CBM32,17
477,CE8+PL9,17
478,CBM2+PL9,17
479,CBM32+GH53,17
480,CBM16+PL7,17
481,CBM32+GH35+GH43,17
