,Families,Incidence
1845,CBM48+CE0+GH10+GH62,1
1846,GH78+GH79,1
1847,GH18+GH31,1
1848,GH1+GH95,1
1849,CBM84+GH115,1
1850,CBM13+CBM6+CBM91+GH43+GH5,1
1851,CBM51+CBM62,1
1852,CBM13+CBM6+CBM62+CE6+GH5,1
1853,AA12+CBM1,1
1854,CBM1+PL9,1
1855,CBM0+CBM1,1
1856,AA7+CBM1,1
1857,AA15+CBM18+GH18,1
1858,GH134+GH27,1
1859,GH134+GH3,1
1860,GH10+GH156,1
1861,CBM1+GH114,1
1862,GH13+GH133+GH23+GT2+GT4+GT5,1
1863,CBM5+GH74,1
1864,CBM22+GH8,1
1865,CBM57+GH86,1
1866,CBM92+GH136,1
1867,GT0+PL38,1
1868,CBM57+CBM92,1
1869,CBM13+CBM20+GH13,1
1870,CBM5+CBM60+GH5,1
1871,CBM61+CBM9+GH0,1
1872,GT2+GT25+GT45,1
1873,CBM6+GH85,1
1874,GH131+GH6,1
1875,PL38+PL6,1
1876,CE6+GH3,1
1877,GT2+GT7,1
1878,GH0+PL10,1
1879,CBM0+GH119,1
1880,CBM51+GH27+GH43,1
1881,GH159+GH27,1
1882,CBM67+GH160+GH78,1
1883,GH106+GH29,1
1884,CBM51+GT2,1
1885,GH141+GH168,1
1886,GH50+GH86,1
1887,CBM85+GH0,1
1888,CBM6+PL15,1
1889,GH39+GH79,1
1890,CBM5+CBM56+GH64,1
1891,GT1+GT94,1
1892,CBM40+GH165,1
1893,CBM84+GH172,1
1894,CBM0+GH0+GH144+GH29,1
1895,CBM32+GH158+GH55,1
1896,CBM32+CBM5+GH95,1
1897,CBM35+CBM59+GH26,1
1898,CBM0+CBM2,1
1899,CBM0+CBM2+GH6,1
1900,GT25+GT32,1
1901,GT14+GT2,1
1902,CBM22+CBM5+CBM6+CBM91+GH43,1
1903,CBM16+CBM9+GH16,1
1904,CBM32+GH141+GH20,1
1905,CBM50+PL1,1
1906,CBM91+GH2+GH43,1
1907,CBM62+GH128,1
1908,CBM35+GH140,1
1909,CBM13+CBM66+GH30,1
1910,CBM16+CBM22+GH110,1
1911,CBM16+GH28,1
1912,CBM91+GH16,1
1913,CBM84+GH51,1
1914,CBM91+GH136,1
1915,CBM0+CBM6+CBM66+GH43,1
1916,CE0+GT0+GT2,1
1917,PL0+PL25,1
1918,CBM13+CBM66+GH93,1
1919,CBM5+GH43,1
1920,CE20+GH5,1
1921,GH29+GT1,1
1922,GH173+GH26,1
1923,GH158+GH26,1
1924,GH43+GH93,1
1925,CBM0+GH167,1
1926,CBM13+CBM6+GH76,1
1927,GH104+GH13,1
1928,GH1+GH24,1
1929,GH19+GH84,1
1930,CBM0+CBM4,1
1931,CBM13+GH66,1
1932,GH28+GH49,1
1933,PL33+PL38,1
1934,CBM32+GH110+GH87,1
1935,CBM13+CBM32+GH141,1
1936,CBM13+CBM66,1
1937,GH116+GH172,1
1938,CBM35+CBM6+GH0,1
1939,CBM32+CBM4+CBM54+CBM6+GH16,1
1940,CE12+CE20,1
1941,CBM32+CBM56+CBM6+GH16,1
1942,CBM66+PL10,1
1943,CBM47+GH64,1
1944,CBM35+GH101,1
1945,CBM47+GH20,1
1946,CBM13+CBM35+GH65,1
1947,CBM18+CE4+GT2,1
1948,CBM24+GH18,1
1949,GT107+GT4,1
1950,CBM13+CBM6+GH54,1
1951,CBM51+GH59,1
1952,CBM32+GH39,1
1953,GH99+GT4,1
1954,CBM32+CBM6+CBM9+CE3+GH136+GH29,1
1955,CBM66+PL8,1
1956,CBM16+GH163,1
1957,CBM16+GH167,1
1958,CBM0+GH110,1
1959,CBM0+CBM16+CBM54+GH163,1
1960,CBM66+CBM9+GH136,1
1961,CBM0+CE0,1
1962,CBM16+CBM54+GH0,1
1963,CBM0+CBM54+GH163,1
1964,CBM32+CBM66,1
1965,CE6+GH0,1
1966,CBM50+CBM61+GH53,1
1967,CBM70+PL35,1
1968,CBM0+CBM51+GH31,1
1969,CBM0+GH31,1
1970,GH43+GH8,1
1971,CBM13+CBM3,1
1972,CBM47+GH92,1
1973,CBM35+CE12+PL11,1
1974,CBM6+GH146,1
1975,CBM6+GH115,1
1976,GH20+GH3,1
1977,CBM13+GH65,1
1978,CBM91+GH10,1
1979,GH31+GH99,1
1980,GT26+GT9,1
1981,CBM18+CBM66,1
1982,GT30+GT4,1
1983,GH17+GH5,1
1984,PL0+PL1,1
1985,CBM2+GH115,1
1986,CBM32+GH144,1
1987,GT8+GT90,1
1988,GH115+GH3,1
1989,CBM32+CBM57+GH2+GH64,1
1990,AA3+CE4,1
1991,CE8+PL4,1
1992,GH5+PL38,1
1993,PL3,1
1994,GH18+GT1,1
1995,GT69+GT90,1
1996,GH105+GH16+GH43,1
1997,CBM35+CBM91,1
1998,AA5+CBM6,1
1999,CBM31+GH81,1
2000,GH2+GH42,1
2001,CBM0+CE15,1
2002,CBM0+CBM32+GH39,1
2003,CBM91+PL0,1
2004,CBM40+GH16,1
2005,CE20+CE3,1
2006,CBM56+CBM6+GH26,1
2007,CE2+GH39,1
2008,CBM50+GH167,1
2009,CBM6+CBM9+GH0,1
2010,CBM0+CBM16+CBM6,1
2011,CBM5+GH9,1
2012,CBM36+CBM66+GH8,1
2013,CBM22+CBM9+GH10+GH30,1
2014,CBM32+GH3+GH99,1
2015,CBM32+GH12,1
2016,CBM35+GH3,1
2017,CBM32+GH101+GH29,1
2018,CBM91+GH51,1
2019,CBM16+CBM6+GH74,1
2020,CBM32+CBM35+GH5,1
2021,CBM6+PL24,1
2022,CBM16+GH150,1
2023,CBM0+PL29,1
2024,GT15+GT71,1
2025,GT25+GT31,1
2026,CE4+GH115,1
2027,CE0+PL1+PL9,1
2028,GT35+GT4,1
2029,CBM47+PL8,1
2030,PL0+PL38,1
2031,CBM32+PL21,1
2032,CBM13+PL42,1
2033,CBM2+CE12+PL11,1
2034,CBM32+CBM40+GH2+GH20+GH33,1
2035,CBM0+CBM32+GH85,1
2036,CBM2+CBM59+GH5,1
2037,CE19+GH28,1
2038,GH105+PL11,1
2039,GT2+GT27,1
2040,CBM3+GH124,1
2041,CBM62+GH20,1
2042,CBM5+GH43+GH51,1
2043,CBM32+CBM6+GH141,1
2044,CBM61+CBM84+GH16,1
2045,GH5+GH74,1
2046,CBM47+GH95,1
2047,CBM32+GH0+GH38,1
2048,CBM57+CBM6+GH30,1
2049,GT71+GT8,1
2050,CBM6+GH10+GH43,1
2051,CE7+GH5,1
2052,CBM32+CBM6+PL7,1
2053,GT32+GT6,1
2054,CBM0+GH105,1
2055,GT2+GT30,1
2056,GH5+GT31,1
2057,CBM32+CBM91+GH110,1
2058,CBM16+GH165,1
2059,CBM16+GH128,1
2060,CBM9+GH99,1
2061,CBM51+CE3,1
2062,CBM51+CE20,1
2063,GH105+PL22,1
2064,CBM0+CBM51,1
2065,CBM0+GH65,1
2066,CBM13+GH8,1
2067,GH18+PL7,1
2068,CBM22+GH25,1
2069,CBM6+GH16+GH64,1
2070,GH143+GH43,1
2071,AA10+CBM13,1
2072,CBM51+GH109,1
2073,CBM60+GH62,1
2074,CBM42+CBM6+GH43,1
2075,CBM32+CBM38+CBM92+GH81,1
2076,CBM6+GH13,1
2077,CBM9+GH20,1
2078,CBM6+PL36,1
2079,CBM35+CBM88+PL1,1
2080,CBM64+GH44,1
2081,CBM35+CBM60,1
2082,CBM2+CBM5+CBM73+GH18,1
2083,PL0+PL7,1
2084,AA10+CBM0,1
2085,CBM60+CBM88+GH5,1
2086,GT2+GT4+GT9,1
2087,CBM23+CBM61,1
2088,AA10+CBM61,1
2089,CE20+GH35,1
2090,CBM62+GH43,1
2091,CBM18+GH42,1
2092,GH16,1
2093,CBM0+GT27,1
2094,GH110+PL9,1
2095,CBM32+GH74,1
2096,GH2+GH78,1
2097,CBM66+GH106+GH43,1
2098,CBM6+GH43+GH97,1
2099,CBM13+CBM62,1
2100,CBM61+CBM72,1
2101,CBM16+CBM32+GH136+GH59,1
2102,CBM13+CBM32+GH110+GH95,1
2103,CBM13+CBM32+CBM51+GH29,1
2104,CBM32+GH30+GH43,1
2105,CBM13+CBM16,1
2106,CBM84+GH95,1
2107,CBM16+CBM84,1
2108,CBM61+GH136,1
2109,CBM91+GH30+GH43,1
2110,CBM35+GH141,1
2111,CBM18+CBM24+GH18,1
2112,CE8+GH5,1
2113,CBM5+CBM60+CBM88+GH11,1
2114,GH104+GH24,1
2115,CBM16+CBM61+GH53,1
2116,GT11+GT92,1
2117,CBM0+CBM3+CBM35+GH26,1
2118,GH133+GH78,1
2119,CBM16+GH26,1
2120,CBM0+CBM9,1
2121,GH136+GH29,1
2122,CE3+GH0,1
2123,CBM91+GH110,1
2124,CBM0+CBM32+GH36,1
2125,CBM54+GH16,1
2126,CBM57+CBM88,1
2127,CBM32+CBM6+GH128,1
2128,CBM0+GH136+GH29,1
2129,CBM6+GH51,1
2130,CBM38+GH0,1
2131,CBM50+GH102,1
2132,CBM32+CBM67,1
2133,GH110+GH95,1
2134,GH24+GH73,1
2135,AA15+CBM1+GH45,1
2136,CBM48+CE6,1
2137,GT25+GT45,1
2138,CBM0+GH140,1
2139,GH47+PL26,1
2140,CBM24+GH18+GH71,1
2141,AA14+CE0,1
2142,GH78+GT1,1
2143,GH27+GH88,1
2144,CBM18+CE4+GH28,1
2145,GH17+GT48,1
2146,CBM24+CE5,1
2147,CBM0+CBM5+GH78,1
2148,CBM35+CBM5+GH5,1
2149,CBM13+GH167,1
2150,CBM6+PL8,1
2151,CBM6+CBM62,1
2152,GH121+GH142,1
2153,CBM16+CBM9+GH167,1
2154,GT0+GT14,1
2155,GH19,1
2156,CBM0+GH85,1
2157,CBM6+GH87,1
2158,GH135+GH26,1
2159,GH26+GH9,1
2160,GH114+GH9,1
2161,CBM32+GH110,1
2162,CBM32+CBM6+CBM91+GH43,1
2163,CBM66+GH73,1
2164,GH0+GH166,1
2165,AA9+GH47,1
2166,GH13+GH5+GT5,1
2167,CBM35+GH43+PL3,1
2168,CBM13+CBM32+PL18,1
2169,CE12+GH115,1
2170,CBM15+GH5,1
2171,CBM0+GH95,1
2172,CBM32+GH76,1
2173,CBM9+GH0,1
2174,CBM0+GH146,1
2175,CBM0+GH106+GH78,1
2176,CBM67+GH106+GH78,1
2177,GT32+GT8,1
2178,CE20+GH43,1
2179,GH0+GH46,1
2180,PL12,1
2181,CBM91+GH43+GH51,1
2182,CBM6+CBM92+GH76,1
2183,CBM0+GH87,1
2184,CBM13+CBM32+CBM6,1
2185,CBM2+CBM32+GH12+GH26,1
2186,CBM35+CE2,1
2187,CBM2+CBM61+GH43,1
2188,CBM32+CBM47+GH2,1
2189,CBM35+GH67,1
2190,CBM42+CBM6+GH16,1
2191,CBM88+GH0,1
2192,CBM16+CBM5+GH16,1
2193,CBM4+CBM60+GH0,1
2194,CBM92+GH160,1
2195,CBM12+CBM5+PL14,1
2196,CBM12+CBM5+GH5,1
2197,CE2+GH18,1
2198,GT4+GT56,1
2199,GT0+GT29,1
2200,PL32+PL36,1
2201,GH5+GH92,1
2202,GH5+GH88,1
2203,GH105+GH43,1
2204,CBM62+GH16,1
2205,CBM13+CBM57,1
2206,GH19+GH20,1
2207,CBM5+PL0,1
2208,CBM10+CBM5+GH11,1
2209,GH43+GT64,1
2210,GH20+GH39,1
2211,GH135+GH16,1
2212,CBM34+GH77,1
2213,GT1+GT4,1
2214,CBM51+CBM67,1
2215,GH154+PL42,1
2216,CBM48+CE0+CE1,1
2217,CBM22+CBM9+CE4,1
2218,GH165+GH33,1
2219,CE20+GH95,1
2220,CBM32+PL42,1
2221,CBM25+CBM26+GH31,1
2222,CBM0+CBM54,1
2223,GH43+PL0,1
2224,CBM48+GH13+GT35,1
2225,CBM3+GH5+PL9,1
2226,CBM3+GH12+GH48+GH5,1
2227,CBM3+PL11+PL9,1
2228,AA3,1
2229,CBM0+CBM35+GH39,1
2230,CE3+GH43,1
2231,CBM5+GH59,1
2232,CBM35+CBM47+GH107,1
2233,GH125+GH16,1
