,Families,Incidence,Num_of_fams,Num_of_catalytic_domains
1427,AA10+CBM3+GH5,1,3,2
1430,GH57+GT5,1,2,2
1436,GT0+GT2+GT4+GT41,1,4,4
1437,CBM4+CE6+GH10,1,3,2
1438,CBM9+CE4+GH8,1,3,2
1440,CBM88+CBM9+CBM91+CE6+GH43,1,5,2
1446,CBM85+GH10+GH16,1,3,2
1450,CBM13+GH12+GH5,1,3,2
1459,GH43+GH95,1,2,2
1460,CE15+GH106,1,2,2
1461,CBM91+GH43+GH62,1,3,2
1462,GH10+GT4,1,2,2
1464,CE1+GH11,1,2,2
1465,CBM4+GH16+GH17,1,3,2
1471,CBM10+CBM5+CBM60+CE6+GH10,1,5,2
1475,CBM10+CBM5+GH11+GH5,1,4,2
1482,CBM5+CBM57+CBM60+CE15+GH11,1,5,2
1484,CBM92+GH18+GH5,1,3,2
1500,GH76+GT4,1,2,2
1503,CE0+GH26,1,2,2
1504,CBM2+CE4+GH10+GH11,1,4,3
1506,CBM13+CBM2+CBM36+CBM6+GH10+GH43,1,6,2
1507,CBM13+CBM2+CE0+GH10,1,4,2
1510,GH16+GH50,1,2,2
1511,CBM35+CBM37+CE3+GH26,1,4,2
1516,CBM37+CE8+PL10,1,3,2
1528,CBM22+CBM37+GH10+GH11,1,4,2
1531,GH13+GH57,1,2,2
1532,GH13+GT4,1,2,2
1533,CBM35+GH26+GH5,1,3,2
1534,AA1+CE4,1,2,2
1535,CE12+GH106,1,2,2
1538,GH148+GH30,1,2,2
1540,CE4+GH39,1,2,2
1542,CBM0+CBM6+GH3+GH30,1,4,2
1543,CBM3+GH44+PL11,1,3,2
1545,CBM13+GH16+GH18,1,3,2
1548,CBM6+CE6+GH11,1,3,2
1549,CBM22+CBM9+CE0+GH10,1,4,2
1551,GH88+PL8,1,2,2
1552,GH29+GH89,1,2,2
1553,GH0+GH104,1,2,2
1556,CE13+GT1,1,2,2
1558,GH1+GH5,1,2,2
1559,GT116+GT41,1,2,2
1560,GT11+GT41,1,2,2
1563,GH36+GH38,1,2,2
1564,GH35+GH53,1,2,2
1565,GH28+GH88,1,2,2
1571,CE12+PL22,1,2,2
1572,CE0+CE20,1,2,2
1573,GH26+GH3,1,2,2
1574,CE0+GH0,1,2,2
1575,CE20+GH130,1,2,2
1580,CBM10+CBM60+CE1+CE15,1,4,2
1581,CBM10+GH5+GH6,1,3,2
1583,GH72+GT31,1,2,2
1585,CBM16+CBM9+GH26+GH50,1,4,2
1589,CBM22+GH10+GH62,1,3,2
1592,CBM2+CBM22+CBM60+CE6+GH10,1,5,2
1593,CBM2+CBM22+CBM6+GH10+GH43+GH62,1,6,3
1597,CBM67+GH28+GH78,1,3,2
1599,GH0+GH130,1,2,2
1604,CBM2+GH12+GH5,1,3,2
1606,GH5+PL7,1,2,2
1607,CE6+GH136,1,2,2
1610,CBM22+CBM5+CBM9+CE4+GH10,1,5,2
1620,GT0+GT17,1,2,2
1623,GT114+GT2,1,2,2
1624,GT11+GT4,1,2,2
1625,CE15+GH115,1,2,2
1626,GH0+GT5,1,2,2
1628,CBM5+CBM60+CBM88+CE4+GH11,1,5,2
1630,CBM77+CE8+PL1,1,3,2
1632,CE12+GH43+PL22,1,3,3
1633,GH128+PL11,1,2,2
1634,CBM6+GH0+GH16+GH97,1,4,3
1637,GH0+GH97,1,2,2
1645,CBM32+GH2+GH29,1,3,2
1647,GT41+GT56,1,2,2
1655,CBM0+CBM32+GH76+GH92,1,4,2
1656,AA5+GT2,1,2,2
1657,GH137+GH78,1,2,2
1658,CBM2+GH12+GH18,1,3,2
1660,CBM2+CBM6+CE2+GH8,1,4,2
1665,GH2+GH33,1,2,2
1666,CBM85+CE4+GH10,1,3,2
1668,GT11+GT25,1,2,2
1672,CBM6+CE3+GH11,1,3,2
1676,CBM32+CBM71+GH18+GH85,1,4,2
1677,GH39+GH42,1,2,2
1681,GH115+GH159,1,2,2
1682,GH43+GH50,1,2,2
1684,GH0+GH1,1,2,2
1687,GH53+GT25,1,2,2
1694,GH33+GH54,1,2,2
1696,CE12+GH95,1,2,2
1698,CBM50+GH0+GT4,1,3,2
1705,CBM6+CBM73+GH19+GH5,1,4,2
1710,GH0+GH117,1,2,2
1711,GT2+GT23,1,2,2
1713,GT101+GT4,1,2,2
1715,GH23+GH78,1,2,2
1721,GH6+GH9,1,2,2
1725,CE0+PL22,1,2,2
1726,CE3+GH5,1,2,2
1727,GH0+GT48,1,2,2
1729,CE2+GH130,1,2,2
1734,CBM32+CBM57+GH158+GH16,1,4,2
1738,GT2+GT62,1,2,2
1739,CBM13+GH30+GH42,1,3,2
1740,CE1+GH62,1,2,2
1741,GH43+PL1,1,2,2
1742,GT4+PL12,1,2,2
1746,CBM32+PL18+PL7,1,3,2
1755,CBM32+GH105+PL8,1,3,2
1759,CBM32+CBM6+GH5+GH55,1,4,2
1765,GH142+GH33,1,2,2
1766,CBM32+GH130+GH2,1,3,2
1767,GH110+GH43,1,2,2
1770,GH3+GH5,1,2,2
1771,GH0+GH51,1,2,2
1772,GH172+GH32,1,2,2
1774,CBM32+GH0+GH29,1,3,2
1776,GH24+GH25,1,2,2
1777,GH10+GH120,1,2,2
1785,CE3+GH140,1,2,2
1787,GH27+GH36,1,2,2
1788,CBM22+CE3+GH11,1,3,2
1789,GH84+GT7,1,2,2
1790,CE15+CE3,1,2,2
1792,GT0+GT110,1,2,2
1793,GH3+GT4,1,2,2
1794,GT49+GT61,1,2,2
1795,GH1+GT27,1,2,2
1796,GT50+GT7,1,2,2
1797,GT106+GT4,1,2,2
1798,GT1+PL1,1,2,2
1799,GH27+GT106,1,2,2
1800,GT0+GT77,1,2,2
1802,GH0+GT64,1,2,2
1804,GH2+GT57,1,2,2
1805,GH47+GT4,1,2,2
1806,GH10+GT10,1,2,2
1807,GH31+GT7,1,2,2
1808,GH29+PL30,1,2,2
1809,GH27+GT27,1,2,2
1810,GH28+GH9,1,2,2
1812,GH1+PL1,1,2,2
1814,CBM32+CE3+GH30,1,3,2
1815,GT4+GT83,1,2,2
1819,CBM51+CE0+GH27,1,3,2
1820,CBM62+GH30+GH43,1,3,2
1821,CE12+PL9,1,2,2
1822,CBM4+GH16+GH9,1,3,2
1823,CBM22+CBM6+GH10+GH43,1,4,2
1824,CBM22+CE0+GH30,1,3,2
1826,CBM35+GH2+GH27,1,3,2
1827,GH152+GH2,1,2,2
1834,CE0+GH43,1,2,2
1835,GH44+GH5,1,2,2
1838,GH3+GH67,1,2,2
1841,CBM48+GH0+GH13,1,3,2
1842,GH134+GH36+PL1,1,3,3
1843,CBM6+CE4+GH10+GH11,1,4,3
1844,CBM6+CE0+GH62,1,3,2
1845,CBM48+CE0+GH10+GH62,1,4,3
1846,GH78+GH79,1,2,2
1847,GH18+GH31,1,2,2
1848,GH1+GH95,1,2,2
1850,CBM13+CBM6+CBM91+GH43+GH5,1,5,2
1852,CBM13+CBM6+CBM62+CE6+GH5,1,5,2
1857,AA15+CBM18+GH18,1,3,2
1858,GH134+GH27,1,2,2
1859,GH134+GH3,1,2,2
1860,GH10+GH156,1,2,2
1862,GH13+GH133+GH23+GT2+GT4+GT5,1,6,6
1867,GT0+PL38,1,2,2
1872,GT2+GT25+GT45,1,3,3
1874,GH131+GH6,1,2,2
1875,PL38+PL6,1,2,2
1876,CE6+GH3,1,2,2
1877,GT2+GT7,1,2,2
1878,GH0+PL10,1,2,2
1880,CBM51+GH27+GH43,1,3,2
1881,GH159+GH27,1,2,2
1882,CBM67+GH160+GH78,1,3,2
1883,GH106+GH29,1,2,2
1885,GH141+GH168,1,2,2
1886,GH50+GH86,1,2,2
1889,GH39+GH79,1,2,2
1891,GT1+GT94,1,2,2
1894,CBM0+GH0+GH144+GH29,1,4,3
1895,CBM32+GH158+GH55,1,3,2
1900,GT25+GT32,1,2,2
1901,GT14+GT2,1,2,2
1904,CBM32+GH141+GH20,1,3,2
1906,CBM91+GH2+GH43,1,3,2
1916,CE0+GT0+GT2,1,3,3
1917,PL0+PL25,1,2,2
1920,CE20+GH5,1,2,2
1921,GH29+GT1,1,2,2
1922,GH173+GH26,1,2,2
1923,GH158+GH26,1,2,2
1924,GH43+GH93,1,2,2
1927,GH104+GH13,1,2,2
1928,GH1+GH24,1,2,2
1929,GH19+GH84,1,2,2
1932,GH28+GH49,1,2,2
1933,PL33+PL38,1,2,2
1934,CBM32+GH110+GH87,1,3,2
1937,GH116+GH172,1,2,2
1940,CE12+CE20,1,2,2
1947,CBM18+CE4+GT2,1,3,2
1949,GT107+GT4,1,2,2
1953,GH99+GT4,1,2,2
1954,CBM32+CBM6+CBM9+CE3+GH136+GH29,1,6,3
1965,CE6+GH0,1,2,2
1970,GH43+GH8,1,2,2
1973,CBM35+CE12+PL11,1,3,2
1976,GH20+GH3,1,2,2
1979,GH31+GH99,1,2,2
1980,GT26+GT9,1,2,2
1982,GT30+GT4,1,2,2
1983,GH17+GH5,1,2,2
1984,PL0+PL1,1,2,2
1987,GT8+GT90,1,2,2
1988,GH115+GH3,1,2,2
1989,CBM32+CBM57+GH2+GH64,1,4,2
1990,AA3+CE4,1,2,2
1991,CE8+PL4,1,2,2
1992,GH5+PL38,1,2,2
1994,GH18+GT1,1,2,2
1995,GT69+GT90,1,2,2
1996,GH105+GH16+GH43,1,3,3
2000,GH2+GH42,1,2,2
2005,CE20+CE3,1,2,2
